year,month,commodity_group,cpi_value,inflation_rate_pct
2022,4,FOOD AND NON-ALCOHOLIC BEVERAGES,112.5,3.8
2022,4,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",110.8,2.6
2022,4,HEALTH,114.2,2.4
2022,4,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",111.5,6.9
2022,4,INFORMATION AND COMMUNICATION,102.0,0.7
2022,4,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",109.3,2.3
2022,4,"RECREATION, SPORT AND CULTURE",106.2,1.6
2022,4,RESTAURANTS AND ACCOMMODATION SERVICES,111.6,2.8
2022,4,TRANSPORT,125.1,13.0
2022,5,ALCOHOLIC BEVERAGES AND TOBACCO,151.0,6.8
2022,5,ALL ITEMS,113.9,5.4
2022,5,CLOTHING AND FOOTWEAR,108.9,2.1
2022,5,EDUCATION SERVICES,107.3,0.6
2022,5,FINANCIAL SERVICES,143.3,0.0
2022,5,FOOD AND NON-ALCOHOLIC BEVERAGES,113.2,4.9
2022,5,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",111.0,2.5
2022,5,HEALTH,114.5,2.4
2022,5,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",111.5,6.5
2022,5,INFORMATION AND COMMUNICATION,102.0,0.7
2022,5,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",109.6,2.5
2022,5,"RECREATION, SPORT AND CULTURE",106.4,1.7
2022,5,RESTAURANTS AND ACCOMMODATION SERVICES,112.5,2.8
2022,5,TRANSPORT,127.3,14.6
2022,6,ALCOHOLIC BEVERAGES AND TOBACCO,152.8,7.8
2022,6,ALL ITEMS,114.9,6.1
2022,6,CLOTHING AND FOOTWEAR,109.2,2.2
2022,6,EDUCATION SERVICES,107.3,0.6
2022,6,FINANCIAL SERVICES,143.3,0.0
2022,6,FOOD AND NON-ALCOHOLIC BEVERAGES,114.3,6.0
2022,6,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",111.6,2.9
2022,6,HEALTH,114.9,2.6
2022,6,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",112.0,6.6
2022,6,INFORMATION AND COMMUNICATION,102.0,0.5
2022,6,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",109.9,2.6
2022,6,"RECREATION, SPORT AND CULTURE",106.7,1.9
2022,6,RESTAURANTS AND ACCOMMODATION SERVICES,112.9,2.8
2022,6,TRANSPORT,130.8,17.1
2022,7,ALCOHOLIC BEVERAGES AND TOBACCO,154.3,8.5
2022,7,ALL ITEMS,115.8,6.4
2022,7,CLOTHING AND FOOTWEAR,109.8,2.5
2022,7,EDUCATION SERVICES,107.3,0.6
2022,7,FINANCIAL SERVICES,143.3,0.0
